================================================================================
Viral Identification Comprehensive Analysis Report - MEGAHIT Assembly Results
VirSorter2 + DeepVirFinder
================================================================================

[Overall Statistics]
--------------------------------------------------------------------------------
VirSorter2 identified viral sequences:    1,600
DeepVirFinder identified viral sequences: 48,283
Consensus viral sequences (both tools):   1,600
VirSorter2 only:                          0
DeepVirFinder only:                       46,683

DeepVirFinder significant sequences (p<0.05): 2,241


[Consensus Viral Sequences (High Confidence)]
--------------------------------------------------------------------------------
Sequence Name                            VS2 Score    DVF Score    DVF P-value 
k141_59580                               0.940        0.176        1.55e-01    
k141_59753                               1.000        0.291        1.22e-01    
k141_5985                                0.873        0.000        6.28e-01    
k141_59871                               0.740        0.763        2.85e-02    
k141_59903                               0.773        0.984        8.74e-03    
k141_60057                               0.993        0.272        1.27e-01    
k141_60136                               0.627        0.001        4.86e-01    
k141_60250                               0.980        0.150        1.65e-01    
k141_60451                               1.000        0.407        9.45e-02    
k141_60503                               0.733        0.000        9.60e-01    
k141_60702                               1.000        0.514        5.60e-02    
k141_60851                               0.960        0.000        7.52e-01    
k141_60987                               0.880        0.000        6.86e-01    
k141_60990                               0.733        0.044        2.43e-01    
k141_61018                               nan          0.938        1.50e-02    
k141_61051                               0.980        0.195        1.48e-01    
k141_61062                               0.867        0.024        2.82e-01    
k141_61086                               0.553        0.386        9.97e-02    
k141_61165                               1.000        0.029        2.70e-01    
k141_61292                               0.853        0.267        1.28e-01    
k141_61425                               1.000        0.753        2.91e-02    
k141_6149                                0.993        0.420        9.18e-02    
k141_61579                               0.993        1.000        1.17e-03    
k141_6201                                nan          0.011        3.37e-01    
k141_62064                               1.000        0.042        2.46e-01    
k141_62126                               0.880        0.102        1.88e-01    
k141_62199                               0.867        0.001        5.40e-01    
k141_62250                               0.847        0.020        2.95e-01    
k141_62299                               0.993        0.536        5.11e-02    
k141_62309                               1.000        0.934        1.52e-02    
k141_62343                               0.900        0.471        7.72e-02    
k141_62425                               0.907        0.077        2.06e-01    
k141_62555                               0.940        0.631        3.91e-02    
k141_62855                               0.527        0.010        3.45e-01    
k141_62985                               0.913        0.138        1.71e-01    
k141_63056                               0.973        0.010        3.46e-01    
k141_63627                               0.740        0.000        6.60e-01    
k141_63817                               0.600        0.082        2.02e-01    
k141_63905                               0.900        0.999        3.55e-03    
k141_64                                  0.713        0.602        4.20e-02    
k141_64003                               0.947        0.043        2.45e-01    
k141_64150                               0.960        0.349        1.08e-01    
k141_64267                               0.987        0.998        4.55e-03    
k141_64330                               0.873        0.499        6.40e-02    
k141_64782                               0.827        0.012        3.31e-01    
k141_6505                                0.987        0.007        3.69e-01    
k141_65087                               0.833        0.425        9.05e-02    
k141_65127                               0.720        0.008        3.64e-01    
k141_65309                               nan          0.000        6.26e-01    
k141_65378                               0.987        0.987        8.01e-03    
k141_65460                               0.507        0.054        2.30e-01    
k141_6550                                0.580        0.082        2.02e-01    
k141_65506                               0.700        0.003        4.41e-01    
k141_65532                               0.500        0.006        3.78e-01    
k141_65621                               0.980        0.755        2.90e-02    
k141_65664                               0.760        0.000        6.76e-01    
k141_65683                               0.507        0.001        5.26e-01    
k141_65932                               0.833        0.129        1.74e-01    
k141_66292                               0.993        0.446        8.47e-02    
k141_66374                               0.727        0.833        2.27e-02    
k141_66493                               0.627        0.067        2.15e-01    
k141_66671                               0.873        0.000        6.61e-01    
k141_66772                               0.527        0.705        3.26e-02    
k141_66809                               nan          0.017        3.05e-01    
k141_66834                               0.813        0.321        1.14e-01    
k141_67416                               0.640        0.000        6.22e-01    
k141_67453                               1.000        0.775        2.74e-02    
k141_67491                               0.880        0.000        9.14e-01    
k141_67569                               0.887        0.619        4.01e-02    
k141_67598                               0.787        0.341        1.10e-01    
k141_67645                               0.920        0.000        7.10e-01    
k141_67709                               nan          0.009        3.49e-01    
k141_67730                               0.987        0.845        2.19e-02    
k141_67774                               1.000        0.000        5.96e-01    
k141_67786                               0.553        0.000        5.91e-01    
k141_67941                               0.740        0.007        3.66e-01    
k141_68302                               0.993        0.265        1.28e-01    
k141_68342                               0.673        0.006        3.77e-01    
k141_68435                               0.953        0.132        1.73e-01    
k141_68513                               0.667        0.528        5.28e-02    
k141_68522                               0.873        0.000        5.96e-01    
k141_68590                               0.633        0.336        1.11e-01    
k141_68642                               0.880        0.918        1.64e-02    
k141_68695                               0.733        0.011        3.39e-01    
k141_68806                               0.960        0.230        1.38e-01    
k141_68832                               0.700        0.588        4.37e-02    
k141_68842                               0.653        0.889        1.86e-02    
k141_69039                               0.813        0.117        1.80e-01    
k141_69051                               0.927        0.001        5.26e-01    
k141_69211                               0.847        0.075        2.08e-01    
k141_69243                               0.547        0.117        1.80e-01    
k141_69297                               1.000        0.516        5.55e-02    
k141_69495                               1.000        0.088        1.97e-01    
k141_69523                               0.973        0.401        9.64e-02    
k141_69857                               0.527        0.444        8.51e-02    
k141_69973                               0.980        0.507        5.81e-02    
k141_7012                                nan          0.000        7.44e-01    
k141_70437                               0.833        0.000        7.91e-01    
k141_7062                                0.673        0.053        2.31e-01    
k141_70691                               1.000        0.999        3.00e-03    
k141_70798                               0.827        0.000        5.59e-01    
k141_70800                               0.940        0.000        9.10e-01    
k141_70805                               0.700        0.154        1.63e-01    
k141_70949                               0.873        0.180        1.54e-01    
k141_71091                               nan          0.000        8.29e-01    
k141_71114                               0.707        0.000        6.94e-01    
k141_71150                               0.960        0.155        1.63e-01    
k141_71268                               0.747        0.011        3.38e-01    
k141_71283                               0.960        0.055        2.29e-01    
k141_71354                               0.700        0.001        4.92e-01    
k141_71416                               0.647        0.002        4.50e-01    
k141_7144                                0.753        0.992        7.01e-03    
k141_7165                                0.667        0.502        6.06e-02    
k141_71666                               0.633        0.077        2.06e-01    
k141_71849                               0.993        0.005        3.88e-01    
k141_71864                               0.793        0.007        3.72e-01    
k141_71883                               0.547        0.071        2.12e-01    
k141_71944                               0.547        0.000        6.91e-01    
k141_71954                               0.767        0.002        4.77e-01    
k141_72054                               0.653        0.008        3.60e-01    
k141_72136                               nan          0.001        5.22e-01    
k141_72288                               0.967        0.000        7.89e-01    
k141_72323                               0.973        0.719        3.15e-02    
k141_72346                               0.580        0.000        6.09e-01    
k141_72393                               0.733        0.001        4.96e-01    
k141_72430                               0.533        0.004        4.05e-01    
k141_72442                               0.913        0.001        5.28e-01    
k141_72568                               0.533        0.045        2.42e-01    
k141_72694                               0.727        0.011        3.39e-01    
k141_72708                               1.000        0.059        2.25e-01    
k141_72717                               0.647        0.691        3.40e-02    
k141_72723                               0.927        0.125        1.76e-01    
k141_72736                               0.847        0.015        3.16e-01    
k141_72799                               nan          0.001        5.54e-01    
k141_72998                               0.580        0.000        8.44e-01    
k141_7300                                0.507        0.046        2.40e-01    
k141_73069                               0.500        0.023        2.86e-01    
k141_73132                               0.933        0.011        3.37e-01    
k141_73533                               0.933        0.012        3.31e-01    
k141_73605                               0.993        0.000        6.68e-01    
k141_73632                               nan          0.856        2.11e-02    
k141_73671                               0.747        0.001        5.39e-01    
k141_73687                               0.753        0.058        2.25e-01    
k141_73748                               0.747        0.087        1.98e-01    
k141_73810                               0.587        0.000        8.48e-01    
k141_74057                               0.627        0.001        5.16e-01    
k141_74076                               0.980        0.728        3.08e-02    
k141_74116                               0.953        0.001        5.46e-01    
k141_74124                               0.580        0.513        5.62e-02    
k141_74130                               nan          0.368        1.04e-01    
k141_74131                               0.633        0.000        6.82e-01    
k141_74284                               0.967        0.000        5.75e-01    
k141_74529                               1.000        0.000        6.14e-01    
k141_74730                               0.987        0.702        3.28e-02    
k141_74732                               0.927        0.000        6.68e-01    
k141_74896                               0.580        0.000        5.88e-01    
k141_74981                               0.753        0.260        1.30e-01    
k141_75120                               0.980        0.125        1.76e-01    
k141_75184                               0.993        0.000        7.86e-01    
k141_75332                               0.920        0.279        1.25e-01    
k141_75446                               1.000        0.925        1.59e-02    
k141_75484                               0.573        0.008        3.63e-01    
k141_7555                                0.953        0.998        4.82e-03    
k141_75603                               0.953        0.000        8.16e-01    
k141_75978                               0.520        0.007        3.65e-01    
k141_75990                               0.940        0.014        3.18e-01    
k141_76028                               0.707        0.144        1.67e-01    
k141_76034                               1.000        0.054        2.30e-01    
k141_76253                               0.947        0.002        4.47e-01    
k141_76376                               0.840        0.450        8.36e-02    
k141_76480                               1.000        0.394        9.79e-02    
k141_76592                               0.533        0.000        6.66e-01    
k141_76628                               1.000        0.983        8.80e-03    
k141_76638                               0.973        0.000        8.64e-01    
k141_76681                               0.867        0.229        1.38e-01    
k141_76713                               0.880        0.001        5.55e-01    
k141_76890                               0.993        0.052        2.31e-01    
k141_76920                               0.620        0.348        1.08e-01    
k141_76965                               0.807        0.604        4.18e-02    
k141_76971                               0.920        0.408        9.42e-02    
k141_770                                 0.573        0.000        6.40e-01    
k141_7700                                0.647        0.000        8.06e-01    
k141_77006                               0.987        0.274        1.26e-01    
k141_77030                               1.000        0.235        1.36e-01    
k141_77047                               0.973        0.099        1.90e-01    
k141_77303                               0.760        0.000        8.45e-01    
k141_7745                                0.867        0.003        4.32e-01    
k141_77455                               0.787        0.601        4.23e-02    
k141_77483                               0.627        0.013        3.24e-01    
k141_77551                               0.880        0.375        1.03e-01    
k141_77813                               0.607        0.018        3.03e-01    
k141_78014                               1.000        0.091        1.96e-01    
k141_78047                               0.940        0.077        2.06e-01    
k141_78056                               0.587        0.000        6.61e-01    
k141_7834                                0.920        0.007        3.66e-01    
k141_78506                               0.953        0.000        9.00e-01    
k141_78511                               0.733        0.039        2.51e-01    
k141_7854                                0.627        0.328        1.13e-01    
k141_78610                               0.973        0.255        1.31e-01    
k141_78642                               0.960        0.767        2.80e-02    
k141_78649                               0.840        0.957        1.28e-02    
k141_78685                               0.513        0.148        1.66e-01    
k141_78747                               0.973        0.001        5.40e-01    
k141_78806                               0.953        0.128        1.74e-01    
k141_79041                               0.967        0.553        4.81e-02    
k141_79050                               1.000        0.390        9.91e-02    
k141_79301                               0.653        0.112        1.83e-01    
k141_79328                               0.800        0.014        3.19e-01    
k141_79443                               0.880        0.000        5.65e-01    
k141_7945                                0.740        0.006        3.78e-01    
k141_79608                               0.807        0.001        5.41e-01    
k141_79867                               0.700        0.143        1.68e-01    
k141_7989                                0.540        0.015        3.12e-01    
k141_79921                               0.500        0.099        1.90e-01    
k141_8006                                0.547        0.000        7.26e-01    
k141_80125                               0.967        0.000        7.68e-01    
k141_80502                               0.967        0.004        4.02e-01    
k141_80550                               0.567        0.475        7.59e-02    
k141_8065                                0.533        0.036        2.57e-01    
k141_80671                               0.527        0.089        1.97e-01    
k141_80692                               0.993        0.000        6.91e-01    
k141_80733                               0.987        0.805        2.49e-02    
k141_80839                               nan          0.000        6.45e-01    
k141_80866                               0.940        0.000        7.77e-01    
k141_81063                               0.533        0.000        6.59e-01    
k141_81153                               0.827        1.000        2.64e-04    
k141_81200                               0.927        0.217        1.41e-01    
k141_81437                               nan          0.001        5.54e-01    
k141_81561                               0.900        0.001        5.33e-01    
k141_81627                               0.920        0.130        1.74e-01    
k141_81702                               0.633        0.000        7.08e-01    
k141_81706                               0.600        0.000        8.62e-01    
k141_81776                               0.620        0.155        1.63e-01    
k141_81853                               0.740        0.000        6.83e-01    
k141_81962                               0.920        0.011        3.35e-01    
k141_82006                               0.627        0.865        2.05e-02    
k141_82051                               0.993        0.093        1.94e-01    
k141_82076                               0.793        0.000        6.97e-01    
k141_82142                               nan          0.000        7.76e-01    
k141_82399                               0.827        0.054        2.30e-01    
k141_82503                               0.980        0.133        1.73e-01    
k141_82522                               0.500        0.012        3.33e-01    
k141_82735                               0.927        0.409        9.41e-02    
k141_82772                               0.967        0.000        9.73e-01    
k141_8296                                nan          0.220        1.40e-01    
k141_82997                               0.747        0.000        7.42e-01    
k141_83008                               0.693        0.000        8.55e-01    
k141_83173                               0.840        0.000        7.50e-01    
k141_83211                               0.773        0.021        2.90e-01    
k141_83224                               0.940        0.003        4.31e-01    
k141_83442                               0.887        0.803        2.49e-02    
k141_83454                               0.947        0.099        1.90e-01    
k141_83457                               0.640        0.000        9.97e-01    
k141_83480                               1.000        0.621        4.00e-02    
k141_83585                               0.560        0.999        3.70e-03    
k141_83656                               0.933        0.011        3.36e-01    
k141_83742                               0.927        0.940        1.48e-02    
k141_83828                               0.667        0.000        7.34e-01    
k141_83919                               0.747        0.733        3.04e-02    
k141_84039                               nan          0.262        1.29e-01    
k141_84112                               0.960        0.019        2.98e-01    
k141_84179                               0.967        0.002        4.62e-01    
k141_8419                                0.520        0.993        6.82e-03    
k141_84285                               1.000        0.501        6.13e-02    
k141_8439                                0.740        0.038        2.52e-01    
k141_84446                               0.953        0.102        1.88e-01    
k141_84630                               0.813        0.232        1.37e-01    
k141_84670                               0.967        0.271        1.27e-01    
k141_84685                               0.533        0.023        2.84e-01    
k141_84696                               0.547        0.000        5.78e-01    
k141_84966                               0.993        0.001        4.83e-01    
k141_85023                               0.860        0.938        1.50e-02    
k141_85146                               0.780        0.000        6.61e-01    
k141_85374                               0.920        0.000        7.06e-01    
k141_85388                               0.900        0.000        7.19e-01    
k141_8559                                0.980        0.017        3.04e-01    
k141_85635                               0.867        0.001        5.44e-01    
k141_85764                               0.820        0.067        2.16e-01    
k141_85933                               0.787        0.000        7.91e-01    
k141_8598                                0.973        0.029        2.71e-01    
k141_85987                               0.840        0.000        6.03e-01    
k141_86047                               0.927        0.001        5.36e-01    
k141_86097                               0.573        0.007        3.70e-01    
k141_86429                               0.947        0.000        6.52e-01    
k141_86591                               0.927        0.402        9.59e-02    
k141_8666                                0.733        0.018        3.02e-01    
k141_86715                               0.667        0.008        3.62e-01    
k141_86797                               0.947        0.013        3.25e-01    
k141_86848                               0.720        0.145        1.67e-01    
k141_8707                                nan          0.492        6.84e-02    
k141_87089                               0.993        0.049        2.36e-01    
k141_87119                               0.947        0.005        3.94e-01    
k141_87132                               0.660        0.003        4.30e-01    
k141_8731                                0.967        0.033        2.62e-01    
k141_87563                               0.980        0.021        2.90e-01    
k141_87606                               0.927        0.003        4.37e-01    
k141_87775                               0.940        0.000        9.57e-01    
k141_87851                               0.827        0.122        1.78e-01    
k141_88037                               0.660        0.002        4.79e-01    
k141_88077                               0.533        0.003        4.26e-01    
k141_8811                                0.940        0.067        2.15e-01    
k141_88125                               nan          0.452        8.29e-02    
k141_88134                               0.847        0.000        6.74e-01    
k141_88174                               0.607        0.013        3.24e-01    
k141_88309                               0.907        0.000        6.49e-01    
k141_88431                               0.553        0.045        2.41e-01    
k141_88468                               0.880        0.037        2.55e-01    
k141_88917                               0.707        0.000        7.69e-01    
k141_88944                               0.793        0.000        6.88e-01    
k141_89010                               0.953        0.000        5.86e-01    
k141_89281                               0.833        0.268        1.27e-01    
k141_89440                               0.967        0.067        2.16e-01    
k141_89504                               0.967        0.293        1.21e-01    
k141_89801                               0.653        0.019        2.98e-01    
k141_89991                               0.913        0.002        4.52e-01    
k141_9000                                0.600        0.005        3.99e-01    
k141_90057                               0.993        0.511        5.71e-02    
k141_90142                               0.947        0.270        1.27e-01    
k141_90315                               0.587        0.000        5.68e-01    
k141_90321                               nan          0.666        3.59e-02    
k141_90582                               0.893        0.351        1.08e-01    
k141_90585                               0.807        0.003        4.25e-01    
k141_90707                               0.640        0.000        5.73e-01    
k141_90715                               0.887        0.631        3.91e-02    
k141_9086                                0.840        0.000        7.80e-01    
k141_9093                                0.613        0.098        1.91e-01    
k141_9104                                0.987        0.144        1.67e-01    
k141_91122                               nan          0.003        4.23e-01    
k141_91198                               0.880        0.000        5.96e-01    
k141_91278                               0.880        0.227        1.38e-01    
k141_91388                               nan          0.000        8.55e-01    
k141_91510                               0.633        0.025        2.80e-01    
k141_91518                               0.847        0.161        1.61e-01    
k141_91638                               0.953        0.013        3.22e-01    
k141_91856                               0.953        0.000        6.33e-01    
k141_9208                                0.993        0.104        1.87e-01    
k141_92094                               0.973        0.977        9.69e-03    
k141_922                                 0.993        0.040        2.49e-01    
k141_92325                               0.700        0.000        7.66e-01    
k141_92346                               0.813        0.045        2.41e-01    
k141_92451                               0.520        0.022        2.89e-01    
k141_92452                               0.500        0.000        6.61e-01    
k141_9246                                0.933        0.001        4.85e-01    
k141_92586                               0.927        0.247        1.33e-01    
k141_92606                               0.993        0.004        4.14e-01    
k141_9263                                0.980        0.003        4.21e-01    
k141_92672                               nan          0.945        1.42e-02    
k141_92772                               0.813        0.249        1.33e-01    
k141_9287                                0.860        0.042        2.46e-01    
k141_9288                                0.987        0.022        2.89e-01    
k141_93078                               0.973        0.000        5.69e-01    
k141_93167                               0.893        0.205        1.46e-01    
k141_93224                               0.980        0.308        1.17e-01    
k141_93276                               0.640        0.360        1.06e-01    
k141_93317                               0.807        1.000        1.53e-03    
k141_93357                               0.960        0.000        5.92e-01    
k141_93538                               0.907        0.600        4.23e-02    
k141_93777                               0.700        0.000        8.20e-01    
k141_93784                               0.673        0.003        4.34e-01    
k141_93810                               0.967        0.342        1.10e-01    
k141_93842                               0.993        0.609        4.14e-02    
k141_93864                               0.687        0.129        1.74e-01    
k141_93999                               0.820        0.054        2.29e-01    
k141_94153                               0.900        0.986        8.25e-03    
k141_94267                               0.533        0.513        5.64e-02    
k141_94526                               1.000        0.477        7.49e-02    
k141_94648                               0.947        0.641        3.79e-02    
k141_9478                                0.547        0.000        8.60e-01    
k141_94805                               0.973        0.972        1.03e-02    
k141_94822                               0.887        0.000        9.23e-01    
k141_9496                                0.933        0.115        1.81e-01    
k141_94978                               0.920        0.370        1.04e-01    
k141_95037                               1.000        0.135        1.72e-01    
k141_95087                               0.920        0.011        3.39e-01    
k141_95208                               0.860        0.000        6.63e-01    
k141_9521                                0.993        0.006        3.82e-01    
k141_95273                               0.513        0.047        2.38e-01    
k141_9529                                nan          0.000        6.13e-01    
k141_95307                               0.933        0.006        3.77e-01    
k141_9545                                1.000        0.044        2.44e-01    
k141_95526                               0.873        0.022        2.89e-01    
k141_95978                               0.727        0.000        7.05e-01    
k141_960                                 1.000        0.457        8.19e-02    
k141_96050                               0.587        0.099        1.90e-01    
k141_96464                               0.740        0.034        2.61e-01    
k141_96584                               0.640        0.174        1.56e-01    
k141_96591                               nan          0.001        5.51e-01    
k141_9668                                0.813        0.018        3.02e-01    
k141_96966                               0.787        0.223        1.40e-01    
k141_97027                               0.767        0.000        5.61e-01    
k141_97249                               0.960        0.081        2.02e-01    
k141_97496                               0.813        0.000        6.04e-01    
k141_97801                               0.940        0.168        1.58e-01    
k141_97802                               0.600        0.068        2.14e-01    
k141_9793                                0.713        0.000        6.89e-01    
k141_98061                               0.873        0.000        7.07e-01    
k141_98068                               0.640        0.001        5.01e-01    
k141_98109                               1.000        0.117        1.80e-01    
k141_98299                               0.553        0.126        1.76e-01    
k141_98450                               0.520        0.856        2.11e-02    
k141_98491                               0.553        0.000        9.20e-01    
k141_98572                               1.000        0.039        2.51e-01    
k141_98658                               0.740        0.366        1.05e-01    
k141_98692                               0.540        0.042        2.46e-01    
k141_98823                               0.607        0.024        2.83e-01    
k141_99043                               0.627        0.029        2.70e-01    
k141_9918                                0.893        0.002        4.44e-01    
k141_99289                               0.640        0.433        8.81e-02    
k141_9961                                0.773        0.000        8.02e-01    
k141_99672                               0.793        0.005        3.94e-01    
k141_99678                               0.767        0.004        4.11e-01    
k141_99757                               0.993        0.997        5.29e-03    
k141_9982                                0.987        0.008        3.56e-01    
k141_99838                               0.967        0.952        1.34e-02    
k141_99894                               0.987        0.014        3.19e-01    
k141_9993                                1.000        0.577        4.48e-02    

================================================================================
Analysis Complete
================================================================================
